FID,TRIP_ID,DATE_TRIP,YEAR,MONTH,SITE_CODE,LATITUDE,LONGITUDE,GEOM,GENUS_SPECIES,COUNT_SPECIES,SEX,DEV_STAGE,ABUNDANCE
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c2,9,2010-06-22T00:00:00,2010,6,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,male,,6.2317
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c3,12,2010-10-05T00:00:00,2010,10,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,2,female,,21.7919
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c4,20,2011-06-15T00:00:00,2011,6,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,,,2.6595
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c5,21,2011-07-18T00:00:00,2011,7,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,female,,2.8004
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c6,22,2011-08-22T00:00:00,2011,8,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,4,female,,45.7077
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c7,25,2011-11-25T00:00:00,2011,11,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,2,female,,14.6265
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c8,26,2011-12-15T00:00:00,2011,12,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,female,,9.9419
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19c9,34,2012-08-28T00:00:00,2012,8,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,9,female,,59.4872
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19ca,35,2012-09-18T00:00:00,2012,9,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,3,female,,107.0671
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19cb,35,2012-09-18T00:00:00,2012,9,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,male,,35.689
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19cc,36,2012-10-30T00:00:00,2012,10,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,4,female,,29.9639
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19cd,36,2012-10-30T00:00:00,2012,10,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,male,,7.491
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19ce,43,2013-10-08T00:00:00,2013,10,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,2,female,,54.5487
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19cf,43,2013-10-08T00:00:00,2013,10,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,male,,27.2744
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19d0,44,2013-12-16T00:00:00,2013,12,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,male,,6.0398
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19d1,44,2013-12-16T00:00:00,2013,12,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,female,,6.0398
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19d2,45,2014-01-23T00:00:00,2014,1,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,2,female,,6.1047
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19d3,45,2014-01-23T00:00:00,2014,1,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,male,,3.0524
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19d4,46,2014-03-06T00:00:00,2014,3,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,female,,76.0989
ECP_GEOSERVER_ZOOPLANKTON.fid-4db7f46f_16ccd0071d4_19d5,49,2014-07-04T00:00:00,2014,7,SB6,-43.1865,147.4353,POINT (147.43529 -43.1865),Calocalanus pavo,1,female,,6.8839
